price,address,beds,baths,link,property_type,popularity,date,size
"€285,000","126 Caisleé¡n Way, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-126-caisle-n-way-ballincollig-co-cork/3483728,Semi-D,779,2021-07-31 05:10:23.875416+00:00,87 m²
"€249,500","194 The Willows, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,Semi-D,"1,258",2021-07-31 05:10:33.964648+00:00,None
"€229,000","25 Innishmore Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,Bungalow,"1,471",2021-07-31 05:10:44.499717+00:00,None
"€315,000","15 Glincool Grove, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,Detached,"1,325",2021-07-31 05:10:55.098770+00:00,None
"€260,000","21 Leesdale Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,Semi-D,"2,812",2021-07-31 05:11:05.473580+00:00,81 m²
"€380,000","Grange Hill, Ovens, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,Detached,776,2021-07-31 05:11:16.151511+00:00,105 m²
"€370,000","9 Highfield Crescent, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,Semi-D,"1,597",2021-07-31 05:11:26.245614+00:00,113 m²
"€280,000","25 Leeview, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,Semi-D,"2,049",2021-07-31 05:11:37.484065+00:00,89 m²
"€395,000","Altona, Kerry Pike, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,Detached,"4,584",2021-07-31 05:11:47.610197+00:00,158 m²
"€360,000","39 The Brambles, Classes Lake, Ballincollig, Co. Cork",4 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,Semi-D,"3,003",2021-07-31 05:11:58.081839+00:00,107 m²
"€380,000","Coolroe Ballincollig Cork, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,Bungalow,"2,992",2021-07-31 05:12:08.553685+00:00,134 m²
"€350,000","50 Old Court, Greenfields, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,Semi-D,"2,138",2021-07-31 05:12:18.628184+00:00,87 m²
"€275,000","15 Orchard Lane, Aherla, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,Terrace,"1,595",2021-07-31 05:12:28.588296+00:00,None
"€345,000","79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,Semi-D,"3,624",2021-07-31 05:12:39.939484+00:00,103 m²
"€345,000","8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,Semi-D,"2,367",2021-07-31 05:12:51.047032+00:00,106 m²
"€225,000","36 Castlepark, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,Terrace,"4,312",2021-07-31 05:13:01.556696+00:00,89 m²
"€279,000","104 Caisleán Grove, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,Semi-D,"2,773",2021-07-31 05:13:11.896562+00:00,89 m²
"€325,000","14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,End of Terrace,"3,429",2021-07-31 05:13:22.109786+00:00,108 m²
"€380,000","Lilly Bank, Model Farm Road, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,Bungalow,"1,568",2021-07-31 05:13:32.344343+00:00,90 m²
"€350,000","22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,Semi-D,"1,792",2021-07-31 05:13:42.508959+00:00,130 m²
"€285,000","126 Caisleé¡n Way, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-126-caisle-n-way-ballincollig-co-cork/3483728,Semi-D,779,2021-07-31 05:14:05.811035+00:00,87 m²
"€249,500","194 The Willows, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,Semi-D,"1,258",2021-07-31 05:14:15.811622+00:00,None
"€229,000","25 Innishmore Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,Bungalow,"1,471",2021-07-31 05:14:26.356137+00:00,None
"€315,000","15 Glincool Grove, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,Detached,"1,325",2021-07-31 05:14:36.573448+00:00,None
"€260,000","21 Leesdale Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,Semi-D,"2,812",2021-07-31 05:14:46.606772+00:00,81 m²
"€380,000","Grange Hill, Ovens, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,Detached,776,2021-07-31 05:14:56.620556+00:00,105 m²
"€370,000","9 Highfield Crescent, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,Semi-D,"1,597",2021-07-31 05:15:06.792289+00:00,113 m²
"€280,000","25 Leeview, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,Semi-D,"2,049",2021-07-31 05:15:18.072830+00:00,89 m²
"€395,000","Altona, Kerry Pike, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,Detached,"4,584",2021-07-31 05:15:28.163402+00:00,158 m²
"€360,000","39 The Brambles, Classes Lake, Ballincollig, Co. Cork",4 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,Semi-D,"3,003",2021-07-31 05:15:38.165127+00:00,107 m²
"€380,000","Coolroe Ballincollig Cork, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,Bungalow,"2,992",2021-07-31 05:15:48.912234+00:00,134 m²
"€350,000","50 Old Court, Greenfields, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,Semi-D,"2,138",2021-07-31 05:15:58.937919+00:00,87 m²
"€275,000","15 Orchard Lane, Aherla, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,Terrace,"1,595",2021-07-31 05:16:09.335844+00:00,None
"€345,000","79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,Semi-D,"3,624",2021-07-31 05:16:20.533687+00:00,103 m²
"€345,000","8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,Semi-D,"2,367",2021-07-31 05:16:31.298855+00:00,106 m²
"€395,000","Altona, Kerry Pike, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,Detached,"4,994",2021-08-02 05:11:46.266164+00:00,158 m²
"€225,000","36 Castlepark, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,Terrace,"4,312",2021-07-31 05:16:42.199967+00:00,89 m²
"€279,000","104 Caisleán Grove, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,Semi-D,"2,773",2021-07-31 05:16:52.276547+00:00,89 m²
"€325,000","14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,End of Terrace,"3,429",2021-07-31 05:17:02.181755+00:00,108 m²
"€380,000","Lilly Bank, Model Farm Road, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,Bungalow,"1,570",2021-07-31 05:17:12.434336+00:00,90 m²
"€350,000","22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,Semi-D,"1,792",2021-07-31 05:17:22.229598+00:00,130 m²
"€330,000","92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3439767,Detached,"2,389",2021-07-31 05:17:33.448545+00:00,93 m²
"€375,000","The Bungalow, Coolroe, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3439755,Detached,"1,434",2021-07-31 05:17:44.464906+00:00,116 m²
"€395,000","Vesna, 57 Rosewood, Ballincollig, Co. Cork",4 Bed,3 Bath,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,Detached,"5,980",2021-07-31 05:17:55.310344+00:00,203 m²
"€345,000","36 Westcourt Heights, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,Detached,"5,237",2021-07-31 05:18:06.263229+00:00,129 m²
"€315,000","2 Glendower Court, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,Semi-D,"3,992",2021-07-31 05:18:16.524151+00:00,None
"€295,000","17 Coolroe Heights, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,Semi-D,"3,376",2021-07-31 05:18:27.211775+00:00,118 m²
"€300,000","20 Oak Avenue, Classes Lake, Ovens, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,Semi-D,"4,863",2021-07-31 05:18:37.223298+00:00,None
"€365,000","Fatima, Poulavone, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,Bungalow,"11,903",2021-07-31 05:18:48.190368+00:00,106 m²
"€325,000","Farran Ovens, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,Bungalow,"24,074",2021-07-31 05:18:58.183661+00:00,167 m²
"€285,000","126 Caisleán Way, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-126-caisle-n-way-ballincollig-co-cork/3483728,Semi-D,"1,168",2021-08-01 05:10:23.493102+00:00,87 m²
"€249,500","194 The Willows, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,Semi-D,"1,519",2021-08-01 05:10:33.824828+00:00,None
"€229,000","25 Innishmore Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,Bungalow,"1,715",2021-08-01 05:10:44.562357+00:00,None
"€315,000","15 Glincool Grove, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,Detached,"1,454",2021-08-01 05:10:54.894338+00:00,None
"€260,000","21 Leesdale Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,Semi-D,"2,968",2021-08-01 05:11:05.045397+00:00,81 m²
"€380,000","Grange Hill, Ovens, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,Detached,818,2021-08-01 05:11:15.277978+00:00,105 m²
"€370,000","9 Highfield Crescent, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,Semi-D,"1,665",2021-08-01 05:11:25.399800+00:00,113 m²
"€280,000","25 Leeview, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,Semi-D,"2,144",2021-08-01 05:11:36.960461+00:00,89 m²
"€395,000","Altona, Kerry Pike, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,Detached,"4,767",2021-08-01 05:11:47.065035+00:00,158 m²
"€360,000","39 The Brambles, Classes Lake, Ballincollig, Co. Cork",4 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,Semi-D,"3,086",2021-08-01 05:11:57.291646+00:00,107 m²
"€380,000","Coolroe Ballincollig Cork, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,Bungalow,"3,074",2021-08-01 05:12:08.226107+00:00,134 m²
"€350,000","50 Old Court, Greenfields, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,Semi-D,"2,199",2021-08-01 05:12:18.406056+00:00,87 m²
"€275,000","15 Orchard Lane, Aherla, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,Terrace,"1,636",2021-08-01 05:12:28.504852+00:00,None
"€345,000","79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,Semi-D,"3,722",2021-08-01 05:12:40.022038+00:00,103 m²
"€345,000","8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,Semi-D,"2,404",2021-08-01 05:12:51.192001+00:00,106 m²
"€225,000","36 Castlepark, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,Terrace,"4,407",2021-08-01 05:13:01.809705+00:00,89 m²
"€279,000","104 Caisleán Grove, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,Semi-D,"2,823",2021-08-01 05:13:12.255124+00:00,89 m²
"€325,000","14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,End of Terrace,"3,486",2021-08-01 05:13:22.723760+00:00,108 m²
"€380,000","Lilly Bank, Model Farm Road, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,Bungalow,"1,611",2021-08-01 05:13:32.890446+00:00,90 m²
"€350,000","22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,Semi-D,"1,830",2021-08-01 05:13:42.954325+00:00,130 m²
"€285,000","126 Caisleán Way, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-126-caisle-n-way-ballincollig-co-cork/3483728,Semi-D,"1,168",2021-08-01 05:14:06.372769+00:00,87 m²
"€249,500","194 The Willows, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,Semi-D,"1,519",2021-08-01 05:14:16.288211+00:00,None
"€229,000","25 Innishmore Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,Bungalow,"1,715",2021-08-01 05:14:26.665642+00:00,None
"€315,000","15 Glincool Grove, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,Detached,"1,454",2021-08-01 05:14:37.123406+00:00,None
"€260,000","21 Leesdale Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,Semi-D,"2,968",2021-08-01 05:14:47.004892+00:00,81 m²
"€380,000","Grange Hill, Ovens, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,Detached,818,2021-08-01 05:14:56.948369+00:00,105 m²
"€370,000","9 Highfield Crescent, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,Semi-D,"1,665",2021-08-01 05:15:07.035430+00:00,113 m²
"€280,000","25 Leeview, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,Semi-D,"2,144",2021-08-01 05:15:18.248217+00:00,89 m²
"€395,000","Altona, Kerry Pike, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,Detached,"4,767",2021-08-01 05:15:28.298402+00:00,158 m²
"€360,000","39 The Brambles, Classes Lake, Ballincollig, Co. Cork",4 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,Semi-D,"3,086",2021-08-01 05:15:38.406254+00:00,107 m²
